ç,n,x1,b163,b164,b165,b166,b167,b168,b169,b170,b171,b172,b173,b174,b175,b176,b177,b178,b179,b180,b181,b182,b183,b184,b185,b186,b187,b188,b189,b190,b191,b192,b193,b194,b195,b196,b197,b198,b199,b200,b201,b202,b203,b204,b205,b206,b207,b208,b209,b210,b211,b212,b213,b214,b215,b216,b217,b218,b219,b220,b221,b222,b223,b224,b225,b226,b227,b228,b229,b230,b231,b232
87.80670792,61.88672454,197.5655089,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
97.83620213,74.79331901,-149.985866,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
22.23139303,93.35870586,13.46472619,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
30.67830008,10.68966615,40.11584326,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
62.20008095,75.63945888,-72.56060443,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-34.93464038,27.573641,-154.4329184,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
52.86022261,62.25348815,-140.3415229,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-9.088804476,68.79055218,-134.1221791,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
82.86756538,96.08512691,-121.9371713,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
27.02397784,89.35315919,26.46181496,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
76.38450752,48.00966046,46.18641322,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
